Sites,Depth,X Value 1 two_theta,X Value 2 peak_height,X Value 3 peak_width,X Value 4 MgCO3
1003,0.41,29.39,317,0.069519451,-0.166959273
1003,0.41,29.8,751,0.220550725,13.4497934
1003,3.41,29.78,353,0.237950728,12.79436285
1003,6.23,29.71,269,0.2664,10.49332372
1003,7.41,29.4,188,0.078592593,0.169728441
1003,7.41,29.74,246,0.27,11.48082551
1003,8.91,29.38,188,0.138549451,-0.503878844
1003,8.91,29.75,237,0.255773026,11.80954494
1003,10.41,29.39,243,0.096944444,-0.166959273
1003,10.41,29.5,174,0.02225,3.523905339
1003,10.41,29.7,276,0.256830508,10.16370786
1003,11.91,29.36,671,0.065481221,-1.178414503
1003,11.91,29.73,2190,0.221212202,11.15188232
1003,11.91,30.2,106,0.023943355,26.37392089
1003,12.68,29.81,1340,0.257334776,13.77717493
1003,13.99,29.49,697,0.220457589,3.189523238
1003,15.49,29.46,784,0.237837838,2.184998961
1003,15.49,29.71,357,0.022266892,10.49332372
1003,16.91,29.46,1332,0.223076923,2.184998961
1003,16.91,29.74,595,0.05478022,11.48082551
1003,18.41,29.45,795,0.222276423,1.849697431
1003,18.41,29.72,353,0.02645,10.82271513
1003,18.41,30.65,119,0.190909091,40.50545276
1003,19.91,29.49,1050,0.233854398,3.189523238
1003,19.91,29.73,437,0.020010163,11.15188232
1003,19.91,30.69,102,0.161764706,41.74128275
1003,21.41,29.45,1927,0.207006939,1.849697431
1003,21.41,29.72,571,0.0325,10.82271513
1003,22.91,29.45,1163,0.212809568,1.849697431
1003,22.91,30.63,137,0.1775,39.88631197
1003,25.91,29.48,681,0.233513378,2.85491163
1003,25.91,30.65,234,0.152205882,40.50545276
1003,26.41,29.52,986,0.21813962,4.191981953
1003,26.41,29.76,376,0.025416667,12.13804082
1003,26.41,30.66,234,0.147556306,40.8147164
1003,27.82,29.48,841,0.503951834,2.85491163
1003,27.82,29.72,686,0.100009191,10.82271513
1003,27.82,30.67,98,0.143333333,41.12377582
1003,35.91,29.54,1296,0.218220862,4.859143337
1003,35.91,29.76,671,0.032056127,12.13804082
1003,37.41,29.49,1529,0.213258427,3.189523238
1003,38.89,29.5,1391,0.20874359,3.523905339
1003,38.89,29.79,480,0.021682627,13.12218945
1003,40.41,29.45,882,0.20965271,1.849697431
1003,40.41,29.74,328,0.041239496,11.48082551
1003,41.91,29.48,462,0.2271,2.85491163
1003,41.91,30.61,88,0.0475,39.26635185
1003,43.41,29.48,681,0.20645933,2.85491163
1003,44.89,29.52,986,0.203250916,4.191981953
1003,45.4,29.49,660,0.208292159,3.189523238
1003,45.4,29.8,154,0.020774194,13.4497934
1003,46.91,29.51,751,0.222428127,3.858058166
1003,46.91,30.73,137,0.144857143,42.97385462
1003,48.41,29.48,1918,0.206748816,2.85491163
1003,49.91,29.49,1764,0.19910199,3.189523238
1003,49.91,30.69,108,0.125,41.74128275
1003,51.41,29.48,1122,0.216108014,2.85491163
1003,51.41,30.65,144,0.106829545,40.50545276
1003,52.91,29.49,1706,0.205500213,3.189523238
1003,52.91,29.74,380,0.025950203,11.48082551
1003,54.91,29.5,1858,0.209104941,3.523905339
1003,54.91,30.7,121,0.045392857,42.04973067
1003,56.01,29.01,85,0.023176044,-13.13508852
1003,56.01,29.48,1722,0.215451765,2.85491163
1003,56.01,30.67,92,0.103,41.12377582
1003,57.51,29.48,1697,0.206852325,2.85491163
1003,57.51,30.66,86,0.063095238,40.8147164
1003,59.01,29.46,1354,0.221354527,2.184998961
1003,59.01,30.65,193,0.146163194,40.50545276
1003,60.51,29.47,1204,0.215032978,2.520070283
1003,60.51,30.67,137,0.13997549,41.12377582
1003,62.01,29.48,1640,0.219161491,2.85491163
1003,62.01,30.65,121,0.122769231,40.50545276
1003,64.41,29.46,1901,0.201104876,2.184998961
1003,64.41,30.66,130,0.18124183,40.8147164
1003,65.91,29.52,1616,0.21764292,4.191981953
1003,65.91,29.72,645,0.021924399,10.82271513
1003,65.91,30.71,139,0.116875,42.35797516
1003,67.39,29.47,1989,0.195598889,2.520070283
1003,67.39,30.63,137,0.139477124,39.88631197
1003,68.91,29.47,1122,0.224302615,2.520070283
1003,68.91,30.66,154,0.1043125,40.8147164
1003,69.91,29.46,1246,0.220676877,2.184998961
1003,69.91,29.72,586,0.040985663,10.82271513
1003,69.91,30.65,114,0.038659459,40.50545276
1003,70.41,29.47,1129,0.22906279,2.520070283
1003,70.41,29.74,458,0.079703569,11.48082551
1003,70.41,30.67,121,0.161904762,41.12377582
1003,71.41,29.47,756,0.084166667,2.520070283
1003,71.41,29.74,1011,0.49021954,11.48082551
1003,71.41,30.29,86,0.028214286,29.2342377
1003,71.41,30.7,86,0.063692308,42.04973067
1003,71.89,29.46,1576,0.204225168,2.184998961
1003,71.89,30.06,92,0.022564103,21.89007553
1003,71.89,30.69,142,0.168392857,41.74128275
1003,72.91,29.39,762,0.138479156,-0.166959273
1003,72.91,29.73,858,0.283531823,11.15188232
1003,73.91,29.43,888,0.217169775,1.178402809
1003,73.91,29.73,812,0.15487898,11.15188232
